laboratory,lab_fullname,state,lab_type,geo_zone
NCDC-NRL,"National Reference Laboratory, Gaduwa, Abuja",FCT,Molecular,North Central
RSUTH,Rivers State University Teaching Hospital Molecular laboratory,Rivers,Molecular,South South
NCDC-CPHL,"Central Public Health Laboratory, Yaba, Lagos",Lagos,Molecular,South West
UNTH             ,"University of Nigeria Teaching Hospital (UNTH), Molecular Virology laboratory, Enugu",Enugu,Molecular,South East
UCTH,"University of Calabar Teaching Hospital, Cross River",Cross River,Molecular,South South
MOGID,Abubakar Tafawa Balewa University Teaching Hospital Molecular and Genomic Infectious Disease Laboratory,Bauchi,Molecular,North East
BUK-KANO,Centre for Infectious Diseases Research - BUK - Kano,Kano,Molecular,North West
DLHMH-Cross River,"Dr. Lawrence Henshaw Memorial Hospital, Calabar",Cross River,GeneXpert,South South
SHP-Yola,"Specialist Hospital, Yola",Adamawa,GeneXpert,North East
"MBL, FMC ASABA","Federal Medical Centre, Asaba",Delta,GeneXpert,South South
ABUTH,"Ahmadu Bello University Teaching Hospital, Zaria",Kaduna,GeneXpert,North West
FMC Gusau Zamfara,FMC Gusau Zamfara,Zamfara,GeneXpert,North West
FMC Owerri  - Imo ,FMC Owerri  - Imo ,Imo,GeneXpert,South East
FMC - Anambara,FMC - Anambara,Anambra,GeneXpert,South East
FMC Jalingo Taraba,FMC Jalingo Taraba,Taraba,GeneXpert,North East
FMC Makurdi Benue,FMC Makurdi Benue,Benue,GeneXpert,North Central
UATH G_Lada,"University of Abuja Teaching Hospital, Gwagwalada",FCT,GeneXpert,North Central
"State Specialist, Ijaye - Ogun","State Specialist, Ijaye - Ogun",Ogun,GeneXpert,South West
Federal Teaching hospital Ido Ekiti,Federal Teaching hospital Ido Ekiti,Ekiti,GeneXpert,South West
